Drift
RAM Structural System
17.03.00.285
DataBase: 21
Building Code: IBC
Steel Code: IBC
07/05/22 17:04:10
CRITERIA:
Rigid End Zones:       Ignore Effects
Member Force Output:   At Face of Joint
P-Delta:,Yes,Scale Factor (DL):,1.20,Scale Factor (LL):,1.60
,,Scale Factor (Roof):,0.50,Scale Factor (Snow):,1.00
Ground Level:,Base
Use Reduced Stiffness for Steel Members (AISC 360):,  t b =  1.00
LOAD CASE DEFINITIONS:
E5   ,EQ_DRIFT       ,EQ_ASCE716_X_+E_Drft
E6   ,EQ_DRIFT       ,EQ_ASCE716_X_-E_Drft
E7   ,EQ_DRIFT       ,EQ_ASCE716_Y_+E_Drft
E8   ,EQ_DRIFT       ,EQ_ASCE716_Y_-E_Drft
W13  ,WIND_DRIFT     ,Wind_ASCE716_1_X   
W14  ,WIND_DRIFT     ,Wind_ASCE716_1_Y   
W15  ,WIND_DRIFT     ,Wind_ASCE716_2_X+E 
W16  ,WIND_DRIFT     ,Wind_ASCE716_2_X-E 
W17  ,WIND_DRIFT     ,Wind_ASCE716_2_Y+E 
W18  ,WIND_DRIFT     ,Wind_ASCE716_2_Y-E 
W19  ,WIND_DRIFT     ,Wind_ASCE716_3_X+Y 
W20  ,WIND_DRIFT     ,Wind_ASCE716_3_X-Y 
W21  ,WIND_DRIFT     ,Wind_ASCE716_4_X+Y_CW
W22  ,WIND_DRIFT     ,Wind_ASCE716_4_X+Y_CCW
W23  ,WIND_DRIFT     ,Wind_ASCE716_4_X-Y_CW
W24  ,WIND_DRIFT     ,Wind_ASCE716_4_X-Y_CCW
RESULTS:
 Location  (ft): (180.000, -85.500)
 Story, LdC, Displacement, Story Drift, Drift Ratio
,, X, Y, X, Y, X, Y
,,       in,       in,       in,       in
,W18, -0.2650, -0.1412, -0.0977, -0.0403,  0.0006,  0.0002
,W19,  0.6140,  0.9227,  0.2286,  0.3441,  0.0014,  0.0020
,W20,  0.1713, -0.3222,  0.0658, -0.1030,  0.0004,  0.0006
,W21,  0.0129, -0.0106,  0.0065,  0.0151,  0.0000,  0.0001
,W22,  0.9081,  1.3946,  0.3364,  0.5010,  0.0020,  0.0030
,W23, -0.3191, -0.9443, -0.1156, -0.3202,  0.0007,  0.0019
,W24,  0.5761,  0.4610,  0.2143,  0.1657,  0.0013,  0.0010
Level 3        , E5,  0.8130,  0.2192,  0.5510,  0.2745,  0.0033,  0.0016
, E6,  1.5130,  1.3476,  1.0351,  0.9764,  0.0062,  0.0058
, E7,  0.8711,  1.8658,  0.5929,  1.0996,  0.0035,  0.0065
, E8, -0.0884,  0.3174, -0.0692,  0.1395,  0.0004,  0.0008
,W13,  0.3273,  0.2396,  0.2198,  0.1851,  0.0013,  0.0011
,W14,  0.1866,  0.5319,  0.1230,  0.2932,  0.0007,  0.0017
,W15,  0.1759,  0.0666,  0.1174,  0.0701,  0.0007,  0.0004
,W16,  0.3151,  0.2928,  0.2122,  0.2075,  0.0013,  0.0012
,W17,  0.4473,  0.8987,  0.3009,  0.5220,  0.0018,  0.0031
,W18, -0.1673, -0.1009, -0.1164, -0.0822,  0.0007,  0.0005
,W19,  0.3854,  0.5786,  0.2571,  0.3587,  0.0015,  0.0021
,W20,  0.1055, -0.2192,  0.0726, -0.0811,  0.0004,  0.0005
,W21,  0.0064, -0.0257,  0.0007, -0.0091,  0.0000,  0.0001
,W22,  0.5718,  0.8936,  0.3849,  0.5471,  0.0023,  0.0033
,W23, -0.2036, -0.6241, -0.1377, -0.3389,  0.0008,  0.0020
,W24,  0.3618,  0.2953,  0.2465,  0.2173,  0.0015,  0.0013
Level 2        , E5,  0.2620, -0.0554,  0.2620, -0.0554,  0.0014,  0.0003
, E6,  0.4780,  0.3713,  0.4780,  0.3713,  0.0025,  0.0019
, E7,  0.2782,  0.7663,  0.2782,  0.7663,  0.0014,  0.0040
, E8, -0.0192,  0.1779, -0.0192,  0.1779,  0.0001,  0.0009
,W13,  0.1075,  0.0545,  0.1075,  0.0545,  0.0006,  0.0003
,W14,  0.0636,  0.2387,  0.0636,  0.2387,  0.0003,  0.0012
,W15,  0.0585, -0.0035,  0.0585, -0.0035,  0.0003,  0.0000
,W16,  0.1028,  0.0853,  0.1028,  0.0853,  0.0005,  0.0004
,W17,  0.1463,  0.3768,  0.1463,  0.3768,  0.0008,  0.0020
,W18, -0.0509, -0.0187, -0.0509, -0.0187,  0.0003,  0.0001
,W19,  0.1284,  0.2199,  0.1284,  0.2199,  0.0007,  0.0011
,W20,  0.0329, -0.1381,  0.0329, -0.1381,  0.0002,  0.0007
,W21,  0.0057, -0.0167,  0.0057, -0.0167,  0.0000,  0.0001
,W22,  0.1869,  0.3465,  0.1869,  0.3465,  0.0010,  0.0018
,W23, -0.0659, -0.2852, -0.0659, -0.2852,  0.0003,  0.0015
,W24,  0.1153,  0.0780,  0.1153,  0.0780,  0.0006,  0.0004
 Location  (ft): (0.000, -77.000)
 Story, LdC, Displacement, Story Drift, Drift Ratio
,, X, Y, X, Y, X, Y
,,       in,       in,       in,       in
Head House Roof, E5,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
, E6,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
, E7,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
, E8,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W13,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W14,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W15,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W16,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W17,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W18,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W19,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W20,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W21,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W22,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W23,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W24,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
Roof           , E5,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
, E6,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
, E7,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
, E8,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W13,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W14,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W15,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W16,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W17,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W18,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W19,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W20,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W21,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W22,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W23,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W24,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
Level 5        , E5,  1.6687, -0.4406,  0.3852, -0.1093,  0.0023,  0.0007
, E6,  2.9446, -2.1820,  0.6763, -0.4858,  0.0040,  0.0029
, E7,  1.5766, -1.1072,  0.3600, -0.1718,  0.0021,  0.0010
, E8, -0.1554,  1.2586, -0.0291,  0.3309,  0.0002,  0.0020
,W13,  0.6441, -0.4063,  0.1539, -0.0999,  0.0009,  0.0006
,W14,  0.3378,  0.0492,  0.0814,  0.0398,  0.0005,  0.0002
,W15,  0.3588, -0.1349,  0.0871, -0.0385,  0.0005,  0.0002
,W16,  0.6074, -0.4746,  0.1438, -0.1113,  0.0009,  0.0007
,W17,  0.8019, -0.7133,  0.1871, -0.1318,  0.0011,  0.0008
,W18, -0.2952,  0.7870, -0.0649,  0.1915,  0.0004,  0.0011
,W19,  0.7365, -0.2679,  0.1765, -0.0450,  0.0011,  0.0003
,W20,  0.2297, -0.3416,  0.0544, -0.1048,  0.0003,  0.0006
,W21,  0.0477,  0.4891,  0.0166,  0.1148,  0.0001,  0.0007
,W22,  1.0570, -0.8909,  0.2482, -0.1823,  0.0015,  0.0011
,W23, -0.3324,  0.4338, -0.0750,  0.0700,  0.0004,  0.0004
,W24,  0.6769, -0.9462,  0.1566, -0.2271,  0.0009,  0.0014
Level 4        , E5,  1.2835, -0.3313,  0.4882, -0.1771,  0.0029,  0.0011
, E6,  2.2683, -1.6962,  0.8674, -0.6682,  0.0052,  0.0040
, E7,  1.2167, -0.9355,  0.4636, -0.3021,  0.0028,  0.0018
, E8, -0.1263,  0.9277, -0.0496,  0.3622,  0.0003,  0.0022
,W13,  0.4902, -0.3064,  0.1828, -0.1250,  0.0011,  0.0007
,W14,  0.2564,  0.0094,  0.0953,  0.0174,  0.0006,  0.0001
,W15,  0.2717, -0.0964,  0.1013, -0.0478,  0.0006,  0.0003
,W16,  0.4636, -0.3633,  0.1729, -0.1397,  0.0010,  0.0008
,W17,  0.6149, -0.5815,  0.2286, -0.1887,  0.0014,  0.0011
,W18, -0.2303,  0.5955, -0.0857,  0.2148,  0.0005,  0.0013
,W19,  0.5599, -0.2228,  0.2086, -0.0806,  0.0012,  0.0005
,W20,  0.1753, -0.2368,  0.0656, -0.1068,  0.0004,  0.0006
,W21,  0.0311,  0.3744,  0.0118,  0.1253,  0.0001,  0.0007
,W22,  0.8088, -0.7086,  0.3011, -0.2463,  0.0018,  0.0015
,W23, -0.2573,  0.3638, -0.0954,  0.1057,  0.0006,  0.0006
,W24,  0.5204, -0.7191,  0.1939, -0.2659,  0.0012,  0.0016
Level 3        , E5,  0.7954, -0.1542,  0.5278, -0.2167,  0.0031,  0.0013
, E6,  1.4009, -1.0279,  0.9528, -0.7651,  0.0057,  0.0046
, E7,  0.7530, -0.6333,  0.5213, -0.4161,  0.0031,  0.0025
, E8, -0.0767,  0.5655, -0.0600,  0.3341,  0.0004,  0.0020
,W13,  0.3074, -0.1815,  0.2042, -0.1452,  0.0012,  0.0009
,W14,  0.1611, -0.0081,  0.1084, -0.0159,  0.0006,  0.0001
,W15,  0.1704, -0.0486,  0.1115, -0.0552,  0.0007,  0.0003
,W16,  0.2907, -0.2236,  0.1948, -0.1625,  0.0012,  0.0010
,W17,  0.3863, -0.3928,  0.2646, -0.2479,  0.0016,  0.0015
,W18, -0.1446,  0.3807, -0.1020,  0.2241,  0.0006,  0.0013
,W19,  0.3514, -0.1422,  0.2344, -0.1208,  0.0014,  0.0007
,W20,  0.1097, -0.1300,  0.0718, -0.0970,  0.0004,  0.0006
,W21,  0.0194,  0.2491,  0.0071,  0.1267,  0.0000,  0.0008
,W22,  0.5077, -0.4623,  0.3445, -0.3078,  0.0021,  0.0018
,W23, -0.1619,  0.2582, -0.1148,  0.1445,  0.0007,  0.0009
,W24,  0.3265, -0.4532,  0.2226, -0.2900,  0.0013,  0.0017
Level 2        , E5,  0.2676,  0.0625,  0.2676,  0.0625,  0.0014,  0.0003
, E6,  0.4480, -0.2628,  0.4480, -0.2628,  0.0023,  0.0014
, E7,  0.2317, -0.2172,  0.2317, -0.2172,  0.0012,  0.0011
, E8, -0.0167,  0.2315, -0.0167,  0.2315,  0.0001,  0.0012
,W13,  0.1032, -0.0363,  0.1032, -0.0363,  0.0005,  0.0002
,W14,  0.0527,  0.0078,  0.0527,  0.0078,  0.0003,  0.0000
,W15,  0.0589,  0.0066,  0.0589,  0.0066,  0.0003,  0.0000
,W16,  0.0959, -0.0611,  0.0959, -0.0611,  0.0005,  0.0003
,W17,  0.1217, -0.1449,  0.1217, -0.1449,  0.0006,  0.0008
,W18, -0.0426,  0.1566, -0.0426,  0.1566,  0.0002,  0.0008
,W19,  0.1170, -0.0214,  0.1170, -0.0214,  0.0006,  0.0001
,W20,  0.0379, -0.0331,  0.0379, -0.0331,  0.0002,  0.0002
,W21,  0.0122,  0.1224,  0.0122,  0.1224,  0.0001,  0.0006
,W22,  0.1632, -0.1545,  0.1632, -0.1545,  0.0009,  0.0008
,W23, -0.0471,  0.1136, -0.0471,  0.1136,  0.0002,  0.0006
,W24,  0.1039, -0.1632,  0.1039, -0.1632,  0.0005,  0.0009
 Location  (ft): (0.000, 0.000)
 Story, LdC, Displacement, Story Drift, Drift Ratio
,, X, Y, X, Y, X, Y
,,       in,       in,       in,       in
Head House Roof, E5,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
, E6,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
, E7,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
, E8,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W13,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W14,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W15,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W16,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W17,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W18,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W19,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W20,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W21,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W22,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W23,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W24,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
Roof           , E5,  1.5237, -0.5074,  0.2890, -0.0669,  0.0015,  0.0003
, E6,  1.0118, -2.5715,  0.2172, -0.3895,  0.0011,  0.0020
, E7, -0.6309, -1.2216, -0.0858, -0.1144,  0.0004,  0.0006
, E8,  0.0617,  1.5677,  0.0074,  0.3091,  0.0000,  0.0016
,W13,  0.3227, -0.5049,  0.0791, -0.0986,  0.0004,  0.0005
,W14, -0.1437,  0.0960, -0.0269,  0.0469,  0.0001,  0.0002
,W15,  0.2943, -0.1710,  0.0684, -0.0361,  0.0003,  0.0002
,W16,  0.1898, -0.5863,  0.0503, -0.1117,  0.0003,  0.0006
,W17, -0.3397, -0.8479, -0.0611, -0.1346,  0.0003,  0.0007
,W18,  0.1243,  0.9920,  0.0207,  0.2049,  0.0001,  0.0010
,W19,  0.1343, -0.3066,  0.0391, -0.0388,  0.0002,  0.0002
,W20,  0.3498, -0.4507,  0.0795, -0.1091,  0.0004,  0.0006
,W21,  0.3139,  0.6157,  0.0668,  0.1266,  0.0003,  0.0006
,W22, -0.1125, -1.0757, -0.0082, -0.1848,  0.0000,  0.0009
,W23,  0.4755,  0.5077,  0.0971,  0.0739,  0.0005,  0.0004
,W24,  0.0491, -1.1837,  0.0221, -0.2375,  0.0001,  0.0012
Level 5        , E5,  1.2347, -0.4406,  0.2813, -0.1093,  0.0017,  0.0007
, E6,  0.7945, -2.1820,  0.1972, -0.4858,  0.0012,  0.0029
, E7, -0.5451, -1.1072, -0.1024, -0.1718,  0.0006,  0.0010
, E8,  0.0543,  1.2586,  0.0095,  0.3309,  0.0001,  0.0020
,W13,  0.2436, -0.4063,  0.0557, -0.0999,  0.0003,  0.0006
,W14, -0.1167,  0.0492, -0.0221,  0.0398,  0.0001,  0.0002
,W15,  0.2259, -0.1349,  0.0497, -0.0385,  0.0003,  0.0002
,W16,  0.1395, -0.4746,  0.0339, -0.1113,  0.0002,  0.0007
,W17, -0.2786, -0.7133, -0.0518, -0.1318,  0.0003,  0.0008
,W18,  0.1035,  0.7870,  0.0186,  0.1915,  0.0001,  0.0011
,W19,  0.0952, -0.2679,  0.0252, -0.0450,  0.0002,  0.0003
,W20,  0.2702, -0.3416,  0.0584, -0.1048,  0.0003,  0.0006
,W21,  0.2471,  0.4891,  0.0513,  0.1148,  0.0003,  0.0007
,W22, -0.1043, -0.8909, -0.0134, -0.1823,  0.0001,  0.0011
,W23,  0.3784,  0.4338,  0.0761,  0.0700,  0.0005,  0.0004
,W24,  0.0270, -0.9462,  0.0115, -0.2271,  0.0001,  0.0014
Level 4        , E5,  0.9535, -0.3313,  0.3178, -0.1771,  0.0019,  0.0011
, E6,  0.5974, -1.6962,  0.2127, -0.6682,  0.0013,  0.0040
