Drift
RAM Structural System
17.04.01.07
DataBase: 220822 - Building 1_LATEST(sung)
Building Code: IBC
Steel Code: IBC
09/06/22 09:48:13
CRITERIA:
Rigid End Zones:       Ignore Effects
Member Force Output:   At Face of Joint
P-Delta:,Yes,Scale Factor (DL):,1.20,Scale Factor (LL):,1.60
,,Scale Factor (Roof):,0.50,Scale Factor (Snow):,1.00
Ground Level:,Base
Use Reduced Stiffness for Steel Members (AISC 360):,  t b =  1.00
LOAD CASE DEFINITIONS:
E5   ,EQ_DRIFT       ,EQ_ASCE716_X_+E_Drft
E6   ,EQ_DRIFT       ,EQ_ASCE716_X_-E_Drft
E7   ,EQ_DRIFT       ,EQ_ASCE716_Y_+E_Drft
E8   ,EQ_DRIFT       ,EQ_ASCE716_Y_-E_Drft
W13  ,WIND_DRIFT     ,Wind_ASCE716_1_X   
W14  ,WIND_DRIFT     ,Wind_ASCE716_1_Y   
W15  ,WIND_DRIFT     ,Wind_ASCE716_2_X+E 
W16  ,WIND_DRIFT     ,Wind_ASCE716_2_X-E 
W17  ,WIND_DRIFT     ,Wind_ASCE716_2_Y+E 
W18  ,WIND_DRIFT     ,Wind_ASCE716_2_Y-E 
W19  ,WIND_DRIFT     ,Wind_ASCE716_3_X+Y 
W20  ,WIND_DRIFT     ,Wind_ASCE716_3_X-Y 
W21  ,WIND_DRIFT     ,Wind_ASCE716_4_X+Y_CW
W22  ,WIND_DRIFT     ,Wind_ASCE716_4_X+Y_CCW
W23  ,WIND_DRIFT     ,Wind_ASCE716_4_X-Y_CW
W24  ,WIND_DRIFT     ,Wind_ASCE716_4_X-Y_CCW
RESULTS:
 Location  (ft): (0.000, 0.000)
 Story, LdC, Displacement, Story Drift, Drift Ratio
,, X, Y, X, Y, X, Y
,W15,  0.2029,  0.0831,  0.2029,  0.0831,  0.0011,  0.0005
,W16,  0.0780,  0.0051,  0.0780,  0.0051,  0.0004,  0.0000
,W17,  0.0317,  0.0497,  0.0317,  0.0497,  0.0002,  0.0003
,W18,  0.0704,  0.0740,  0.0704,  0.0740,  0.0004,  0.0004
,W19,  0.1915,  0.1059,  0.1915,  0.1059,  0.0011,  0.0006
,W20,  0.0894, -0.0178,  0.0894, -0.0178,  0.0005,  0.0001
,W21,  0.2049,  0.1178,  0.2049,  0.1178,  0.0011,  0.0007
,W22,  0.0823,  0.0411,  0.0823,  0.0411,  0.0005,  0.0002
,W23,  0.1284,  0.0250,  0.1284,  0.0250,  0.0007,  0.0001
,W24,  0.0057, -0.0517,  0.0057, -0.0517,  0.0000,  0.0003
 Location  (ft): (56.830, 137.670)
 Story, LdC, Displacement, Story Drift, Drift Ratio
,, X, Y, X, Y, X, Y
,,       in,       in,       in,       in
Roof           , E5,  0.9160,  0.0555,  0.4982,  0.0529,  0.0028,  0.0003
, E6,  0.6051,  0.0399,  0.3377,  0.0389,  0.0019,  0.0002
, E7,  0.3558,  0.2538,  0.1819,  0.1203,  0.0010,  0.0007
, E8,  0.5038,  0.2613,  0.2550,  0.1270,  0.0014,  0.0007
,W13,  0.4082,  0.0255,  0.2209,  0.0245,  0.0012,  0.0001
,W14,  0.1299,  0.0761,  0.0619,  0.0342,  0.0003,  0.0002
,W15,  0.4356,  0.0256,  0.2327,  0.0242,  0.0013,  0.0001
,W16,  0.1767,  0.0127,  0.0986,  0.0126,  0.0005,  0.0001
,W17,  0.0600,  0.0551,  0.0283,  0.0239,  0.0002,  0.0001
,W18,  0.1349,  0.0590,  0.0645,  0.0273,  0.0004,  0.0002
,W19,  0.4036,  0.0762,  0.2121,  0.0440,  0.0012,  0.0002
,W20,  0.2087, -0.0379,  0.1193, -0.0073,  0.0007,  0.0000
,W21,  0.4279,  0.0634,  0.2229,  0.0386,  0.0012,  0.0002
,W22,  0.1775,  0.0509,  0.0952,  0.0274,  0.0005,  0.0002
,W23,  0.2817, -0.0222,  0.1533,  0.0002,  0.0009,  0.0000
,W24,  0.0313, -0.0347,  0.0256, -0.0111,  0.0001,  0.0001
Level 2        , E5,  0.4177,  0.0026,  0.4177,  0.0026,  0.0023,  0.0000
, E6,  0.2674,  0.0010,  0.2674,  0.0010,  0.0015,  0.0000
, E7,  0.1739,  0.1335,  0.1739,  0.1335,  0.0010,  0.0007
, E8,  0.2488,  0.1343,  0.2488,  0.1343,  0.0014,  0.0007
,W13,  0.1873,  0.0010,  0.1873,  0.0010,  0.0010,  0.0000
,W14,  0.0681,  0.0419,  0.0681,  0.0419,  0.0004,  0.0002
,W15,  0.2029,  0.0014,  0.2029,  0.0014,  0.0011,  0.0000
,W16,  0.0780,  0.0001,  0.0780,  0.0001,  0.0004,  0.0000
,W17,  0.0317,  0.0312,  0.0317,  0.0312,  0.0002,  0.0002
,W18,  0.0704,  0.0316,  0.0704,  0.0316,  0.0004,  0.0002
,W19,  0.1915,  0.0322,  0.1915,  0.0322,  0.0011,  0.0002
,W20,  0.0894, -0.0306,  0.0894, -0.0306,  0.0005,  0.0002
,W21,  0.2049,  0.0248,  0.2049,  0.0248,  0.0011,  0.0001
,W22,  0.0823,  0.0235,  0.0823,  0.0235,  0.0005,  0.0001
,W23,  0.1284, -0.0223,  0.1284, -0.0223,  0.0007,  0.0001
,W24,  0.0057, -0.0236,  0.0057, -0.0236,  0.0000,  0.0001
 Location  (ft): (56.830, 0.000)
 Story, LdC, Displacement, Story Drift, Drift Ratio
,, X, Y, X, Y, X, Y
,,       in,       in,       in,       in
Roof           , E5,  0.1146,  0.0555,  0.0494,  0.0529,  0.0003,  0.0003
, E6,  0.2497,  0.0399,  0.1109,  0.0389,  0.0006,  0.0002
, E7, -0.1319,  0.2538, -0.0596,  0.1203,  0.0003,  0.0007
, E8, -0.1965,  0.2613, -0.0874,  0.1270,  0.0005,  0.0007
,W13,  0.0879,  0.0255,  0.0405,  0.0245,  0.0002,  0.0001
,W14, -0.0508,  0.0761, -0.0206,  0.0342,  0.0001,  0.0002
,W15,  0.0097,  0.0256,  0.0047,  0.0242,  0.0000,  0.0001
,W16,  0.1221,  0.0127,  0.0560,  0.0126,  0.0003,  0.0001
,W17, -0.0217,  0.0551, -0.0086,  0.0239,  0.0000,  0.0001
,W18, -0.0545,  0.0590, -0.0223,  0.0273,  0.0001,  0.0002
,W19,  0.0278,  0.0762,  0.0149,  0.0440,  0.0001,  0.0002
,W20,  0.1040, -0.0379,  0.0458, -0.0073,  0.0003,  0.0000
,W21, -0.0336,  0.0634, -0.0132,  0.0386,  0.0001,  0.0002
,W22,  0.0753,  0.0509,  0.0356,  0.0274,  0.0002,  0.0002
,W23,  0.0236, -0.0222,  0.0100,  0.0002,  0.0001,  0.0000
,W24,  0.1325, -0.0347,  0.0588, -0.0111,  0.0003,  0.0001
Level 2        , E5,  0.0652,  0.0026,  0.0652,  0.0026,  0.0004,  0.0000
, E6,  0.1388,  0.0010,  0.1388,  0.0010,  0.0008,  0.0000
, E7, -0.0723,  0.1335, -0.0723,  0.1335,  0.0004,  0.0007
, E8, -0.1092,  0.1343, -0.1092,  0.1343,  0.0006,  0.0007
,W13,  0.0474,  0.0010,  0.0474,  0.0010,  0.0003,  0.0000
